metric,V1
total_guests,205
friday_count,26
saturday_count,49
sunday_count,19
camping_count,1
standard_lodging_count,48
total_friday_cost,6352.5
total_saturday_cost,11880
total_sunday_cost,2278.100000000001
grand_total_cost,20510.6
total_friday_guest_charge,2772
total_saturday_guest_charge,7486
total_sunday_guest_charge,342
grand_total_guest_charge,10600
total_friday_host_charge,3580.5
total_saturday_host_charge,4394
total_sunday_host_charge,1936.1000000000006
grand_total_host_charge,9910.599999999997
